#Enzyme_id	Name	Count	Count_pct
1.1.1.408	"4-phospho-D-threonate 3-dehydrogenase."	1	0.01
6.6.1.2	"Cobaltochelatase."	4	0.02
2.7.4.13	"(Deoxy)nucleoside-phosphate kinase."	1	0.01
3.1.4.53	"3',5'-cyclic-AMP phosphodiesterase."	1	0.01
2.1.1.163	"Demethylmenaquinone methyltransferase."	4	0.02
1.1.1.28	"D-lactate dehydrogenase."	2	0.01
6.1.1.15	"Proline--tRNA ligase."	9	0.05
2.7.6.3	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase."	1	0.01
3.5.1.41	"Chitin deacetylase."	2	0.01
1.2.1.97	"3-sulfolactaldehyde dehydrogenase."	2	0.01
7.6.2.7	"ABC-type taurine transporter."	1	0.01
2.4.2.2	"Pyrimidine-nucleoside phosphorylase."	2	0.01
3.2.1.22	"Alpha-galactosidase."	3	0.02
3.1.1.94	"Versiconal hemiacetal acetate esterase."	1	0.01
2.3.1.117	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase."	4	0.02
1.2.1.79	"Succinate-semialdehyde dehydrogenase (NADP(+))."	3	0.02
1.2.1.11	"Aspartate-semialdehyde dehydrogenase."	2	0.01
4.2.1.7	"Altronate dehydratase."	2	0.01
4.2.1.43	"2-dehydro-3-deoxy-L-arabinonate dehydratase."	2	0.01
3.6.1.1	"Inorganic diphosphatase."	2	0.01
2.8.1.10	"Thiazole synthase."	2	0.01
2.7.1.40	"Pyruvate kinase."	8	0.04
7.2.2.8	"P-type Cu(+) transporter."	3	0.02
1.5.1.43	"Carboxynorspermidine synthase."	2	0.01
2.5.1.6	"Methionine adenosyltransferase."	5	0.03
6.3.5.9	"Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing)."	2	0.01
2.8.3.18	"Succinyl-CoA:acetate CoA-transferase."	2	0.01
2.5.1.55	"3-deoxy-8-phosphooctulonate synthase."	2	0.01
5.1.1.13	"Aspartate racemase."	3	0.02
2.3.1.30	"Serine O-acetyltransferase."	1	0.01
3.5.1.91	"N-substituted formamide deformylase."	1	0.01
2.7.1.144	"Tagatose-6-phosphate kinase."	1	0.01
4.2.1.77	"Trans-L-3-hydroxyproline dehydratase."	1	0.01
2.7.1.209	"L-erythrulose 1-kinase."	1	0.01
1.2.1.3	"Aldehyde dehydrogenase (NAD(+))."	1	0.01
2.7.7.9	"UTP--glucose-1-phosphate uridylyltransferase."	3	0.02
3.2.1.129	"Endo-alpha-sialidase."	1	0.01
7.6.2.11	"ABC-type polyamine transporter."	1	0.01
2.1.1.13	"Methionine synthase."	9	0.05
2.7.7.-	"Nucleotidyltransferases."	69	0.38
5.99.1.-	"Other isomerases."	1	0.01
1.7.2.5	"Nitric-oxide reductase (cytochrome c)."	1	0.01
4.1.1.17	"Ornithine decarboxylase."	1	0.01
1.14.-.-	"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)."	3	0.02
1.2.1.51	"Pyruvate dehydrogenase (NADP(+))."	1	0.01
2.1.2.10	"Aminomethyltransferase."	1	0.01
6.1.1.5	"Isoleucine--tRNA ligase."	13	0.07
4.2.1.91	"Arogenate dehydratase."	4	0.02
3.4.21.92	"Endopeptidase Clp."	1	0.01
3.1.3.15	"Histidinol-phosphatase."	3	0.02
1.4.1.13	"Glutamate synthase (NADPH)."	13	0.07
