#GO_id	Name	Count	Count_pct
GO:0006065	"UDP-glucuronate biosynthetic process"	6	0.03
GO:0004136	"deoxyadenosine kinase activity"	4	0.02
GO:0004655	"porphobilinogen synthase activity"	1	0.01
GO:0004527	"exonuclease activity"	9	0.05
GO:0006229	"dUTP biosynthetic process"	9	0.05
GO:0004845	"uracil phosphoribosyltransferase activity"	5	0.03
GO:0097054	"L-glutamate biosynthetic process"	14	0.08
GO:0001822	"kidney development"	1	0.01
GO:0006426	"glycyl-tRNA aminoacylation"	13	0.07
GO:0030308	"negative regulation of cell growth"	1	0.01
GO:0008239	"dipeptidyl-peptidase activity"	1	0.01
GO:0030694	"bacterial-type flagellum basal body, rod"	3	0.02
GO:0009246	"enterobacterial common antigen biosynthetic process"	3	0.02
GO:0005887	"integral component of plasma membrane"	127	0.70
GO:0051144	"propanediol catabolic process"	1	0.01
GO:0004363	"glutathione synthase activity"	6	0.03
GO:0007275	"multicellular organism development"	1	0.01
GO:0043023	"ribosomal large subunit binding"	3	0.02
GO:0000725	"recombinational repair"	6	0.03
GO:0052853	"long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity"	1	0.01
GO:0005631	"chitosan layer of spore wall"	2	0.01
GO:0015171	"amino acid transmembrane transporter activity"	8	0.04
GO:0042959	"alkanesulfonate transmembrane transporter activity"	1	0.01
GO:0046052	"UTP catabolic process"	1	0.01
GO:0033817	"beta-ketoacyl-acyl-carrier-protein synthase II activity"	4	0.02
GO:0015991	"ATP hydrolysis coupled proton transport"	2	0.01
GO:0098849	"cellular detoxification of cadmium ion"	2	0.01
GO:0008661	"1-deoxy-D-xylulose-5-phosphate synthase activity"	7	0.04
GO:0001401	"mitochondrial sorting and assembly machinery complex"	1	0.01
GO:0009251	"glucan catabolic process"	3	0.02
GO:0071627	"integral component of fungal-type vacuolar membrane"	2	0.01
GO:0008700	"4-hydroxy-2-oxoglutarate aldolase activity"	1	0.01
GO:0019546	"arginine deiminase pathway"	4	0.02
GO:0005216	"ion channel activity"	2	0.01
GO:0006526	"arginine biosynthetic process"	27	0.15
GO:0003796	"lysozyme activity"	45	0.25
GO:0042132	"fructose 1,6-bisphosphate 1-phosphatase activity"	2	0.01
GO:0098009	"viral terminase, large subunit"	14	0.08
GO:0006396	"RNA processing"	28	0.15
GO:0015139	"alpha-ketoglutarate transmembrane transporter activity"	2	0.01
GO:0005783	"endoplasmic reticulum"	4	0.02
GO:0008982	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"	28	0.15
GO:0005782	"peroxisomal matrix"	1	0.01
GO:0051082	"unfolded protein binding"	24	0.13
GO:0061759	"alpha-ketoglutarate reductase activity"	1	0.01
GO:0008919	"lipopolysaccharide glucosyltransferase I activity"	1	0.01
GO:0005730	"nucleolus"	1	0.01
GO:0009403	"toxin biosynthetic process"	2	0.01
GO:0019239	"deaminase activity"	1	0.01
GO:0018860	"anthranilate-CoA ligase activity"	1	0.01
GO:0120010	"intermembrane phospholipid transfer"	1	0.01
GO:0010124	"phenylacetate catabolic process"	4	0.02
GO:0004152	"dihydroorotate dehydrogenase activity"	2	0.01
GO:0050567	"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity"	8	0.04
GO:0009274	"peptidoglycan-based cell wall"	1	0.01
GO:0008452	"RNA ligase activity"	1	0.01
GO:0035444	"nickel cation transmembrane transport"	2	0.01
GO:0005989	"lactose biosynthetic process"	1	0.01
GO:0016817	"hydrolase activity, acting on acid anhydrides"	1	0.01
GO:0015893	"drug transport"	4	0.02
GO:0035312	"5'-3' exodeoxyribonuclease activity"	1	0.01
GO:0031647	"regulation of protein stability"	2	0.01
GO:0009035	"type I site-specific deoxyribonuclease activity"	3	0.02
GO:0045733	"acetate catabolic process"	3	0.02
GO:0102390	"mycophenolic acid acyl-glucuronide esterase activity"	2	0.01
GO:0008829	"dCTP deaminase activity"	13	0.07
GO:0004129	"cytochrome-c oxidase activity"	20	0.11
GO:0008554	"sodium-exporting ATPase activity, phosphorylative mechanism"	1	0.01
GO:0008104	"protein localization"	1	0.01
GO:0000175	"3'-5'-exoribonuclease activity"	10	0.05
GO:0004473	"malate dehydrogenase (decarboxylating) (NADP+) activity"	5	0.03
GO:0032355	"response to estradiol"	1	0.01
GO:0006213	"pyrimidine nucleoside metabolic process"	2	0.01
GO:0004109	"coproporphyrinogen oxidase activity"	8	0.04
GO:0030643	"cellular phosphate ion homeostasis"	2	0.01
GO:0030395	"lactose binding"	1	0.01
GO:0004834	"tryptophan synthase activity"	6	0.03
GO:1903785	"L-valine transmembrane transport"	1	0.01
GO:0006302	"double-strand break repair"	5	0.03
GO:0047151	"methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity"	6	0.03
GO:0016788	"hydrolase activity, acting on ester bonds"	20	0.11
GO:0007049	"cell cycle"	83	0.46
GO:0039534	"negative regulation of MDA-5 signaling pathway"	1	0.01
GO:0004644	"phosphoribosylglycinamide formyltransferase activity"	2	0.01
GO:0036310	"annealing helicase activity"	1	0.01
GO:0102919	"5,6-dimethylbenzimidazole synthase activity"	2	0.01
GO:0003922	"GMP synthase (glutamine-hydrolyzing) activity"	9	0.05
GO:0009555	"pollen development"	1	0.01
GO:0004143	"diacylglycerol kinase activity"	1	0.01
GO:0009405	"pathogenesis"	44	0.24
GO:0031418	"L-ascorbic acid binding"	2	0.01
GO:0050511	"undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity"	6	0.03
GO:0006413	"translational initiation"	2	0.01
GO:0019357	"nicotinate nucleotide biosynthetic process"	3	0.02
GO:0043726	"5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity"	1	0.01
GO:0034257	"nicotinamide riboside transmembrane transporter activity"	2	0.01
GO:0004516	"nicotinate phosphoribosyltransferase activity"	4	0.02
GO:0030288	"outer membrane-bounded periplasmic space"	33	0.18
GO:0080130	"L-phenylalanine:2-oxoglutarate aminotransferase activity"	1	0.01
GO:0003723	"RNA binding"	181	1.00
