#Pathway_id	Name	KOs	total_family	total_family_found	Count	Count_pct
03410	"Base excision repair"	K01142+K01151+K01972+K02335+K03575+K05522+K07462+K10563+K10772+K10773	34	10	49	0.27
00040	"Pentose and glucuronate interconversions"	K00007+K00012+K00040+K00041+K00065+K00848+K00853+K00874+K00963+K01195+K01625+K01629+K01685+K01686+K01728+K01730+K01783+K01804+K01815+K05351	41	20	101	0.56
00252	"Alanine and aspartate metabolism"	K00161+K00162+K00163+K00278+K00382+K00609+K00627+K00812+K00823+K01424+K01744+K01755+K01756+K01775+K01779+K01872+K01876+K01914+K01939+K01940+K01953+K01959+K01960+K02433+K02434+K02435	45	26	104	0.57
00350	"Tyrosine metabolism"	K00001+K00135+K00451+K00492+K00599+K00812+K00817	54	7	53	0.29
00260	"Glycine, serine and threonine metabolism"	K00003+K00018+K00058+K00100+K00133+K00302+K00382+K00600+K00605+K00831+K00865+K00872+K00928+K00998+K01079+K01613+K01697+K01733+K01752+K01753+K01754+K01758+K01868+K01875+K01878+K01879+K02203+K02204	64	28	101	0.56
00360	"Phenylalanine metabolism"	K00285+K00430+K00492+K00529+K00812+K00817+K01451+K05711+K10797	38	9	39	0.21
04010	"MAPK signaling pathway"	K04460	175	1	2	0.01
00253	"Tetracycline biosynthesis"	K01961+K01962+K01963+K02160	4	4	9	0.05
01056	"Biosynthesis of type II polyketide backbone"	K05554	5	1	1	0.01
00130	"Ubiquinone biosynthesis"	K00329+K00331+K00335+K00336+K00337+K00341+K00342+K00343+K00568+K01911+K02548+K03182+K03183+K03688+K06125+K06126	38	16	36	0.20
00910	"Nitrogen metabolism"	K00264+K00265+K00266+K00284+K00285+K00360+K00362+K00366+K00368+K00370+K00371+K00372+K00373+K00374+K00459+K00605+K01424+K01673+K01674+K01744+K01758+K01760+K01914+K01915+K01953+K02193+K02196+K02198+K02200+K02567+K04014+K08345+K08346+K08347	107	34	76	0.42
04940	"Type I diabetes mellitus"	K04077	24	1	6	0.03
00052	"Galactose metabolism"	K00845+K00849+K00850+K00917+K00963+K01190+K01193+K01635+K01784+K01835+K07407+K08302	38	12	38	0.21
00561	"Glycerolipid metabolism"	K00128+K00863+K00864+K00865+K00901+K01046+K01190+K03429+K05878+K05879+K07407	41	11	27	0.15
00480	"Glutathione metabolism"	K00031+K00036+K00383+K00799+K01255+K01256+K01919+K01920+K10807+K10808+K11142+K11185+K11186+K11206	38	14	70	0.38
00290	"Valine, leucine and isoleucine biosynthesis"	K00052+K00053+K00161+K00162+K00163+K00826+K01649+K01652+K01653+K01687+K01703+K01704+K01754+K01869+K01870+K01873	20	16	78	0.43
00471	"D-Glutamine and D-glutamate metabolism"	K01776+K01924+K01925	6	3	28	0.15
01051	"Biosynthesis of ansamycins"	K00615	2	1	2	0.01
00240	"Pyrimidine metabolism"	K00226+K00384+K00525+K00526+K00527+K00560+K00609+K00756+K00758+K00761+K00762+K00857+K00940+K00943+K00945+K00962+K01081+K01119+K01465+K01485+K01494+K01520+K01591+K01937+K01955+K01956+K02335+K02428+K02825+K03465+K03784+K03787+K04765+K08693+K08728+K09903+K10807+K10808	73	38	170	0.93
00633	"Trinitrotoluene degradation"	K00170+K00171+K00172+K03520+K10678	22	5	7	0.04
00650	"Butanoate metabolism"	K00004+K00022+K00023+K00043+K00100+K00128+K00135+K00161+K00162+K00163+K00170+K00171+K00172+K00239+K00240+K00244+K00245+K00626+K00656+K00823+K01028+K01034+K01575+K01652+K01653+K01692+K01782+K03366+K04072+K07514+K07515+K07516	67	32	65	0.36
04110	"Cell cycle"	K03363	91	1	1	0.01
00592	"alpha-Linolenic acid metabolism"	K05894+K10527	14	2	3	0.02
00500	"Starch and sucrose metabolism"	K00012+K00694+K00702+K00703+K00845+K00963+K00975+K01179+K01193+K01195+K01212+K01225+K01810+K01835+K01838+K05349+K05350+K08679	67	18	120	0.66
03020	"RNA polymerase"	K02999+K03002+K03006+K03010+K03018+K03021+K03022+K03040+K03041+K03042+K03043+K03044+K03045+K03046+K03049+K03060+K03086+K03088+K03092	59	19	46	0.25
00230	"Purine metabolism"	K00087+K00088+K00525+K00526+K00527+K00602+K00758+K00759+K00760+K00764+K00769+K00860+K00873+K00904+K00939+K00940+K00948+K00951+K00956+K00957+K00958+K00962+K01081+K01119+K01120+K01129+K01139+K01239+K01428+K01429+K01430+K01466+K01483+K01486+K01492+K01509+K01514+K01515+K01516+K01524+K01525+K01587+K01589+K01756+K01768+K01769+K01839+K01923+K01933+K01939+K01945+K01951+K01952+K02083+K02335+K02428+K03784+K03787+K04765+K08289+K08693+K10353+K10807+K10808+K11175+K11177+K11178	129	67	332	1.83
00920	"Sulfur metabolism"	K00380+K00381+K00390+K00392+K00640+K00641+K00651+K00860+K00956+K00957+K00958+K01738+K01760+K05301+K10150	27	15	53	0.29
03090	"Type II secretion system"	K02236+K02278+K02504+K02505+K02654+K02668	78	6	52	0.29
03420	"Nucleotide excision repair"	K01972+K02335+K03657+K03701+K03702+K03703+K03723	48	7	65	0.36
00220	"Urea cycle and metabolism of amino groups"	K00128+K00145+K00147+K00611+K00618+K00619+K00620+K00930+K00931+K01428+K01429+K01430+K01438+K01457+K01755+K01940+K01941+K09251+K09471+K09472	48	20	68	0.37
00780	"Biotin metabolism"	K00652+K00833+K01012+K01423	11	4	7	0.04
03060	"Protein export"	K03070+K03071+K03072+K03074+K03076+K03100+K03101+K03106+K03110+K03210+K03217+K03424	24	12	36	0.20
00340	"Histidine metabolism"	K00013+K00128+K00492+K00599+K00765+K00817+K01089+K01458+K01523+K01693+K01814+K01892+K02500+K02501+K02502+K04486	34	16	69	0.38
00521	"Streptomycin biosynthesis"	K00067+K00845+K01092+K01710+K01790+K01835	14	6	18	0.10
00450	"Selenoamino acid metabolism"	K00392+K00599+K00789+K00860+K00956+K00957+K00958+K01008+K01251+K01697+K01738+K01758+K01760+K01761+K01874	22	15	58	0.32
04612	"Antigen processing and presentation"	K04079	41	1	1	0.01
00785	"Lipoic acid metabolism"	K03644+K03801	4	2	6	0.03
00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	K00014+K00210+K00220+K00766+K00800+K00812+K00817+K00891+K01609+K01626+K01657+K01658+K01695+K01696+K01713+K01735+K01736+K01817+K01850+K01866+K01889+K01890+K03785+K03786+K03856+K04092+K04093+K04516+K04517+K04518+K06001	48	31	120	0.66
04115	"p53 signaling pathway"	K07207+K08738+K10133+K10808	57	4	7	0.04
00195	"Photosynthesis"	K02108+K02109+K02110+K02111+K02112+K02113+K02114+K02115+K02636	63	9	35	0.19
02020	"Two-component system - General"	K00066+K00244+K00245+K00370+K00371+K00373+K00374+K00626+K00766+K00990+K01034+K01546+K01547+K01609+K01643+K01657+K01695+K01696+K01915+K02040+K02106+K02259+K02406+K02491+K02668+K03407+K03563+K04751+K04771+K07636+K07637+K07638+K07639+K07640+K07641+K07642+K07643+K07644+K07645+K07646+K07647+K07648+K07649+K07650+K07651+K07652+K07653+K07654+K07655+K07656+K07658+K07659+K07662+K07668+K07669+K07673+K07674+K07675+K07676+K07677+K07678+K07679+K07680+K07682+K07683+K07684+K07697+K07698+K07701+K07702+K07704+K07705+K07708+K07709+K07710+K07711+K07712+K07716+K07717+K07718+K07768+K07769+K07771+K07777+K07778+K07788+K07789+K07797+K08348+K08349+K08475+K08479+K10125+K10681+K11103+K11328+K11331+K11354+K11356+K11357+K11383+K11443	239	102	209	1.15
00430	"Taurine and hypotaurine metabolism"	K00259+K00625+K00925+K03852	15	4	14	0.08
03430	"Mismatch repair"	K01141+K01972+K03111+K03555+K03572+K03601+K03602+K03657+K07456+K07462	32	10	69	0.38
00540	"Lipopolysaccharide biosynthesis"	K00677+K00748+K00912+K00979+K01627+K02517+K02527+K02535+K02536+K02843+K02844+K03272+K03274+K03279	31	14	48	0.26
00740	"Riboflavin metabolism"	K00768+K00793+K00794+K01497+K02858	15	5	8	0.04
05120	"Epithelial cell signaling in Helicobacter pylori infection"	K01428+K01429+K01430+K02155+K03661+K08303	55	6	19	0.10
00330	"Arginine and proline metabolism"	K00286+K00472+K00491+K00611+K00812+K01259+K01571+K01625+K01750+K01755+K01881+K01887+K01940+K11142	53	14	54	0.30
01055	"Biosynthesis of vancomycin group antibiotics"	K01710	1	1	1	0.01
00720	"Reductive carboxylate cycle (CO2 fixation)"	K00031+K00170+K00171+K00172+K00176+K00239+K00240+K00244+K00245+K00259+K01007+K01679+K01681+K01682+K01895+K01902	32	16	46	0.25
00473	"D-Alanine metabolism"	K01775+K01921+K03367	4	3	11	0.06
01030	"Glycan structures - biosynthesis 1"	K00710+K00733+K03844+K09667	105	4	11	0.06
00900	"Terpenoid biosynthesis"	K00795+K00806+K01823	8	3	4	0.02
00770	"Pantothenate and CoA biosynthesis"	K00053+K00077+K00606+K00826+K00859+K00867+K00997+K01652+K01653+K01687+K01918+K08682	24	12	45	0.25
00670	"One carbon pool by folate"	K00288+K00297+K00548+K00560+K00600+K00602+K00604+K00605+K01433+K01491+K01934+K01938+K03465+K08289+K11175	21	15	48	0.26
00020	"Citrate cycle (TCA cycle)"	K00030+K00031+K00161+K00162+K00163+K00164+K00170+K00171+K00172+K00176+K00234+K00235+K00239+K00240+K00244+K00245+K00382+K00627+K00658+K01610+K01643+K01647+K01679+K01681+K01682+K01899+K01902+K01959+K01960	50	29	70	0.38
04011	"MAPK signaling pathway - yeast"	K01759+K11231	39	2	37	0.20
00550	"Peptidoglycan biosynthesis"	K01000+K01446+K01447+K01448+K01449+K01915+K01921+K01924+K01925+K01928+K01929+K02563+K03587+K05362+K05364+K05365+K11066	21	17	108	0.59
00280	"Valine, leucine and isoleucine degradation"	K00022+K00128+K00166+K00249+K00382+K00626+K00826+K01028+K01692+K01847+K01848+K01849+K01965+K01966+K01968+K05605+K07514+K07515+K07516+K08683+K09699	51	21	51	0.28
00940	"Phenylpropanoid biosynthesis"	K00430+K00517+K01904+K05349+K05350	19	5	54	0.30
00511	"N-Glycan degradation"	K01186+K01190+K01192+K01207+K01227	8	5	33	0.18
00632	"Benzoate degradation via CoA ligation"	K00120+K00239+K00240+K00244+K00245+K00626+K01034+K01692+K07514+K07515+K07538+K07550	67	12	18	0.10
03010	"Ribosome"	K02863+K02864+K02871+K02874+K02876+K02878+K02879+K02881+K02884+K02886+K02887+K02888+K02895+K02897+K02899+K02904+K02906+K02907+K02911+K02916+K02926+K02931+K02933+K02939+K02945+K02946+K02948+K02950+K02952+K02954+K02956+K02959+K02961+K02963+K02965+K02967+K02968+K02982+K02986+K02988+K02990+K02992+K02994+K02996	147	44	58	0.32
00680	"Methane metabolism"	K00121+K00122+K00123+K00124+K00125+K00127+K00297+K00430+K00436+K00492+K00532+K00533+K00600+K03520+K03781+K05299+K08348+K08349	49	18	36	0.20
00750	"Vitamin B6 metabolism"	K00097+K00831+K00868+K01733+K03474+K06215	14	6	13	0.07
00310	"Lysine degradation"	K00022+K00128+K00143+K00164+K00626+K00658+K00825+K01423+K01692+K01844+K07514+K07515+K07516	46	13	64	0.35
00061	"Fatty acid biosynthesis"	K00059+K00208+K00209+K00645+K00647+K00648+K01961+K01962+K01963+K02160+K02372+K09458+K11263	30	13	30	0.16
00630	"Glyoxylate and dicarboxylate metabolism"	K00015+K00018+K00042+K00122+K00123+K00124+K00125+K00127+K00288+K00436+K00532+K00533+K00865+K01091+K01433+K01458+K01491+K01637+K01647+K01681+K01682+K01938+K07248+K08348+K08349+K08692+K11517	57	27	55	0.30
01040	"Biosynthesis of unsaturated fatty acids"	K00059+K07515+K10805+K10806	27	4	4	0.02
03080	"Type IV secretion system"	K03199	13	1	2	0.01
03030	"DNA replication"	K01972+K02314+K02316+K02335+K02337+K02338+K02339+K02340+K02341+K02342+K02343+K03111+K03469+K03470+K03763	50	15	142	0.78
00730	"Thiamine metabolism"	K00788+K00941+K00946+K01516+K03148+K03149+K03153+K03707+K04487	19	9	24	0.13
00120	"Bile acid biosynthesis"	K00001+K00100+K00128+K00492+K01442	22	5	10	0.05
00860	"Porphyrin and chlorophyll metabolism"	K00228+K00595+K00768+K01195+K01599+K01698+K01749+K01772+K01845+K01885+K02188+K02224+K02226+K02227+K02230+K02232+K02233+K02257+K02259+K02302+K02492+K02493+K02495+K03394+K03399+K04719+K05934+K05936+K06042+K09882	85	30	81	0.45
00010	"Glycolysis / Gluconeogenesis"	K00001+K00016+K00128+K00134+K00161+K00162+K00163+K00170+K00171+K00172+K00382+K00627+K00845+K00850+K00873+K00927+K01085+K01222+K01223+K01568+K01610+K01624+K01689+K01785+K01803+K01810+K01834+K01835+K01837+K01895+K02446+K04022	56	32	118	0.65
00251	"Glutamate metabolism"	K00135+K00264+K00265+K00266+K00383+K00764+K00812+K00820+K00823+K01776+K01885+K01886+K01915+K01919+K01920+K01950+K01951+K01955+K01956+K02433+K02434+K02435	47	22	125	0.69
01032	"Glycan structures - degradation"	K01186+K01190+K01192+K01195+K01207+K01227	21	6	33	0.18
00641	"3-Chloroacrylic acid degradation"	K00001+K00128	4	2	7	0.04
00640	"Propanoate metabolism"	K00016+K00128+K00170+K00171+K00172+K00249+K00625+K00626+K00656+K00823+K00925+K01034+K01692+K01847+K01848+K01849+K01895+K01899+K01902+K01908+K01961+K01962+K01963+K01965+K01966+K02160+K03416+K05605+K07514+K07515	59	30	56	0.31
00523	"Polyketide sugar unit biosynthesis"	K00067+K01710+K01790	4	3	6	0.03
00401	"Novobiocin biosynthesis"	K00210+K00220+K00812+K00817+K04517	10	5	20	0.11
00051	"Fructose and mannose metabolism"	K00007+K00008+K00009+K00066+K00068+K00100+K00848+K00850+K00882+K00966+K00971+K01624+K01629+K01711+K01803+K01809+K01840+K02377+K02446+K03332	50	20	45	0.25
00190	"Oxidative phosphorylation"	K00234+K00235+K00239+K00240+K00244+K00245+K00329+K00331+K00335+K00336+K00337+K00341+K00342+K00343+K00356+K00405+K00411+K00412+K00413+K00425+K00937+K01507+K01535+K02108+K02109+K02110+K02111+K02112+K02113+K02114+K02115+K02124+K02126+K02128+K02155+K02257+K02259+K02297+K02298+K02299+K02300+K03661+K03885+K03934+K03937+K03953+K03955+K05588	200	48	97	0.53
00760	"Nicotinate and nicotinamide metabolism"	K00278+K00322+K00324+K00325+K00763+K00858+K00969+K01081+K01239+K01950+K03784+K03787	30	12	34	0.19
00950	"Alkaloid biosynthesis I"	K00812+K03378	13	2	8	0.04
05111	"Vibrio cholerae pathogenic cycle"	K03092+K10909+K10916+K10942	42	4	25	0.14
04510	"Focal adhesion"	K06269	125	1	1	0.01
00520	"Nucleotide sugars metabolism"	K00012+K00067+K00963+K01710+K01784+K01790+K08679+K10012	20	8	84	0.46
00300	"Lysine biosynthesis"	K00003+K00133+K00143+K00215+K00674+K00821+K00825+K00841+K00928+K01439+K01586+K01714+K01778+K01928+K01929+K04566+K04568+K05822+K05825	39	19	101	0.56
00071	"Fatty acid metabolism"	K00001+K00022+K00128+K00249+K00529+K00626+K01692+K01782+K01825+K01897+K01909+K07514+K07515+K07516	34	14	39	0.21
00790	"Folate biosynthesis"	K00201+K00202+K00203+K00204+K00205+K00441+K00443+K00796+K00950+K01495+K01529+K01664+K01665+K02619+K03388+K08264+K11260	52	17	77	0.42
04310	"Wnt signaling pathway"	K04496	100	1	1	0.01
04020	"Calcium signaling pathway"	K00491+K05864	129	2	3	0.02
00510	"N-Glycan biosynthesis"	K00721+K00729+K00902+K03844	35	4	8	0.04
00960	"Alkaloid biosynthesis II"	K01044	11	1	1	0.01
00362	"Benzoate degradation via hydroxylation"	K01032+K01576+K01607+K01857	49	4	8	0.04
00970	"Aminoacyl-tRNA biosynthesis"	K00604+K01866+K01868+K01869+K01870+K01872+K01873+K01874+K01875+K01876+K01878+K01879+K01881+K01883+K01885+K01886+K01887+K01889+K01890+K01892+K04566+K04568	28	22	125	0.69
00030	"Pentose phosphate pathway"	K00034+K00036+K00615+K00616+K00850+K00852+K00874+K00948+K01057+K01619+K01624+K01625+K01690+K01783+K01807+K01810+K01835+K01839+K02446+K07404	42	20	48	0.26
00380	"Tryptophan metabolism"	K00022+K00128+K00164+K00599+K00626+K00669+K01556+K01692+K03781+K04103+K07514+K07515+K07516	50	13	42	0.23
00981	"Insect hormone biosynthesis"	K10718	8	1	1	0.01
