#Pathway_id	Type	Name	ECs	total_family	total_family_found	Count	Count_pct
LCYSDEG-PWY	"CYSTEINE-DEG;"	"L-cysteine degradation II;"	4.4.1.1	1	1	1	0.01
THREOCAT-PWY	"Super-Pathways; THREONINE-DEG;"	"superpathway of L-threonine metabolism;"	1.1.1.86+1.2.1.10+2.2.1.6+2.3.1.-+2.6.1.42+2.7.2.15+4.2.1.9+4.3.1.19	13	8	45	0.25
PWY0-1241	"ADP-Sugar-Biosynthesis;"	"ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis;"	2.7.1.167+2.7.7.70+5.1.3.20	5	3	4	0.02
PWY-5921	"Aminoacyl-tRNAs-Charging;"	"glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation;"	6.3.5.7	1	1	4	0.02
PWYQT-4474	"GLUCOSINOLATE-SYN;"	"glucosinolate biosynthesis from pentahomomethionine;"	1.14.13.-+2.6.1.-	4	2	8	0.04
POLYISOPRENSYN-PWY	"Polyprenyl-Biosynthesis; Super-Pathways;"	"polyisoprenoid biosynthesis (<i>E. coli</i>);"	2.5.1.-+2.5.1.10+2.5.1.31+5.3.3.2	5	4	9	0.05
PWY0-1021	"ALANINE-SYN;"	"L-alanine biosynthesis III;"	2.8.1.7	1	1	5	0.03
CAMALEXIN-SYN	"INDOLE-PHYTOALEXIN-SYN;"	"camalexin biosynthesis;"	1.14.13.-	1	1	5	0.03
PWY-6442	"N-CONTAINING-SECONDARY-CMPD-SYN;"	"spermidine hydroxycinnamic acid conjugates biosynthesis;"	1.14.-.-+2.1.1.-+2.3.1.-	3	3	42	0.23
PWY-5062	"AROMATIC-COMPOUNDS-DEGRADATION; Super-Pathways;"	"superpathway of nicotinate degradation;"	1.14.13.114	16	1	1	0.01
PWY-5773	"SESQUITERPENOID-SYN;"	"gossypol biosynthesis;"	1.14.13.-+2.1.1.-	3	2	31	0.17
PWY-5666	"ALKALOIDS-SYN;"	"&alpha;-solanine/&alpha;-chaconine biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY-5437	"THREONINE-DEG;"	"L-threonine degradation I;"	2.3.1.-+2.7.2.15+4.3.1.19	3	3	22	0.12
PWY-5844	"Menaquinone-Biosynthesis;"	"menaquinol-9 biosynthesis;"	2.1.1.163	1	1	4	0.02
ENTNER-DOUDOROFF-PWY	"Entner-Duodoroff-Pathways;"	"Entner-Doudoroff shunt;"	4.1.2.14+4.2.1.12	2	2	3	0.02
PWY-6348	"Phosphorus-Compounds;"	"phosphate acquisition;"	3.1.3.2	1	1	1	0.01
HEXITOLDEGSUPER-PWY	"SUGAR-ALCOHOLS-DEG; Super-Pathways;"	"superpathway of hexitol degradation (bacteria);"	1.1.1.140+1.1.1.17	2	2	2	0.01
P302-PWY	"Sugars-And-Polysaccharides-Degradation;"	"L-sorbose degradation;"	1.1.1.-+1.1.1.140	2	2	13	0.07
PWY-6578	"7-Keto-8-aminopelargonate-Biosynthesis;"	"8-amino-7-oxononanoate biosynthesis III;"	2.3.1.47	2	1	1	0.01
PWY0-845	"Super-Pathways; Vitamin-B6-Biosynthesis;"	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;"	1.1.1.262+2.2.1.7+2.6.1.52+2.6.99.2+2.7.1.-+2.7.1.35	9	6	24	0.13
PPGPPMET-PWY	"Metabolic-Regulators;"	"ppGpp biosynthesis;"	2.7.4.6+2.7.6.5+3.1.7.2	4	3	17	0.09
PWY-5041	"S-adenosyl-L-methionine-cycle;"	"<i>S</i>-adenosyl-L-methionine cycle II;"	2.1.1.-+2.1.1.14+2.5.1.6+3.3.1.1	4	4	34	0.19
PWY-6316	"POLYKETIDE-SYN;"	"aromatic polyketides biosynthesis;"	2.3.1.-	2	1	13	0.07
GLUTATHIONESYN-PWY	"Reductants;"	"glutathione biosynthesis;"	6.3.2.2+6.3.2.3	2	2	12	0.07
TRNA-CHARGING-PWY	"Aminoacyl-tRNAs-Charging; Metabolic-Clusters;"	"tRNA charging;"	6.1.1.1+6.1.1.10+6.1.1.11+6.1.1.12+6.1.1.14+6.1.1.15+6.1.1.16+6.1.1.17+6.1.1.18+6.1.1.19+6.1.1.20+6.1.1.21+6.1.1.3+6.1.1.4+6.1.1.5+6.1.1.6+6.1.1.7+6.1.1.9	20	18	118	0.65
PWY-6118	"OTHER-ENERGY;"	"glycerol-3-phosphate shuttle;"	1.1.5.3	2	1	1	0.01
PWY-5339	"CHALCONE-SYN;"	"chalcone 2'-<i>O</i>-glucoside biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY-6297	"Inactivation;"	"tuberonate glucoside biosynthesis;"	2.4.1.-	1	1	12	0.07
PWY-4801	"POLYKETIDE-SYN;"	"aloesone biosynthesis I;"	2.3.1.-	1	1	13	0.07
PWY-6270	"ISOPRENOIDS; Super-Pathways;"	"isoprene biosynthesis I;"	1.1.1.267+2.2.1.7+2.7.1.148+2.7.7.60+4.6.1.12+5.3.3.2	9	6	13	0.07
PWY0-381	"GLYCEROL-DEG; Super-Pathways;"	"glycerol and glycerophosphodiester degradation;"	1.1.5.3+2.7.1.30+3.1.4.46	3	3	8	0.04
PWY-5910	"DITERPENOID-SYN; GGPP-Biosynthesis; Super-Pathways;"	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate);"	1.1.1.34+2.3.1.9+2.3.3.10+2.5.1.10+2.7.4.2+5.3.3.2	10	6	8	0.04
MENAQUINONESYN-PWY	"Menaquinone-Biosynthesis;"	"menaquinol-8 biosynthesis;"	2.1.1.163	1	1	4	0.02
ASPARAGINE-DEG1-PWY	"ASPARAGINE-DEG;"	"L-asparagine degradation I;"	3.5.1.1	1	1	1	0.01
PWY-5481	"Pyruvate-Lactate-Fermentation;"	"pyruvate fermentation to (<i>S</i>)-lactate;"	1.1.1.27	1	1	2	0.01
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	"AROMATIC-COMPOUNDS-DEGRADATION;"	"4-hydroxyphenylacetate degradation;"	1.14.14.-+1.2.1.-+4.1.2.-+4.2.1.-	8	4	9	0.05
PWY-6403	"Polysaccharides-Biosynthesis;"	"carrageenan biosynthesis;"	2.5.1.-	1	1	6	0.03
TCA	"TCA-VARIANTS;"	"TCA cycle I (prokaryotic);"	1.1.1.42+1.3.5.1+2.3.3.1+4.2.1.2+4.2.1.3+6.2.1.5	8	6	21	0.12
PWY-6014	"Vernolate-Biosynthesis;"	"vernolate biosynthesis I;"	1.14.13.-	1	1	5	0.03
PWY-5920	"Heme-b-Biosynthesis; Super-Pathways;"	"superpathway of <i>b</i> heme biosynthesis from glycine;"	1.3.3.3+2.5.1.61+4.1.1.37+4.2.1.24+4.99.1.1	8	5	13	0.07
PWY-5895	"Menaquinone-Biosynthesis;"	"menaquinol-13 biosynthesis;"	2.1.1.163+2.5.1.74	2	2	5	0.03
PWY-4762	"Lipid-Biosynthesis; Super-Pathways;"	"superpathway of choline biosynthesis;"	2.1.1.-+3.1.4.4	8	2	27	0.15
ACETOACETATE-DEG-PWY	"Fatty-Acid-and-Lipid-Degradation;"	"acetoacetate degradation (to acetyl CoA);"	2.3.1.9+2.8.3.-	2	2	7	0.04
PWY-5195	"SESQUITERPENE-LACTONE;"	"artemisinin and arteannuin B biosynthesis;"	1.1.1.-+1.14.13.-+1.2.1.-	4	3	22	0.12
PWY-5938	"Acetoin-Biosynthesis;"	"pyruvate fermentation to (<i>R</i>)-acetoin I;"	2.2.1.6	2	1	9	0.05
ASPARAGINESYN-PWY	"ASPARAGINE-SYN;"	"L-asparagine biosynthesis II;"	6.3.1.1	1	1	2	0.01
PWY-6262	"Demethylmenaquinol-8-Biosynthesis;"	"demethylmenaquinol-8 biosynthesis II;"	2.5.1.-	2	1	6	0.03
PWY-6307	"TRYPTOPHAN-DEG;"	"L-tryptophan degradation X (mammalian, via tryptamine);"	1.1.1.2+1.2.1.3	4	2	2	0.01
GLUT-REDOX-PWY	"Reductants;"	"glutathione-glutaredoxin redox reactions;"	1.8.1.7	2	1	4	0.02
HEMESYN2-PWY	"Heme-b-Biosynthesis;"	"heme <i>b</i> biosynthesis II (anaerobic);"	1.3.99.22+4.1.1.37+4.99.1.1	4	3	6	0.03
PWY-481	"AROMATIC-COMPOUNDS-DEGRADATION;"	"ethylbenzene degradation (anaerobic);"	1.1.1.-	2	1	12	0.07
PWY-5307	"ANTHOCYANIN-SYN;"	"gentiodelphin biosynthesis;"	2.3.1.-+2.4.1.-	4	2	25	0.14
PWY-5687	""	""	2.7.4.6+6.3.4.2	3	2	3	0.02
PWY0-43	"SUCC-DEG;"	"conversion of succinate to propanoate;"	2.8.3.-+5.4.99.2	3	2	6	0.03
PWY-5600	"Pyruvate-Acetate-Fermentation; Super-Pathways;"	"pyruvate fermentation to acetate VII;"	2.3.1.8+2.7.2.1	3	2	5	0.03
PWY-5103	"ISOLEUCINE-SYN;"	"L-isoleucine biosynthesis III;"	1.1.1.86+2.2.1.6+2.6.1.42+4.2.1.9	5	4	21	0.12
PWY-2504	"AROMATIC-COMPOUNDS-DEGRADATION; Super-Pathways;"	"superpathway of aromatic compound degradation via 3-oxoadipate;"	2.8.3.6+3.7.1.3+4.1.1.44+4.2.1.10	25	4	6	0.03
PWY-4942	"Cyclopropane-fatty-acid-biosyn;"	"sterculate biosynthesis;"	2.1.1.79	1	1	2	0.01
PWY0-1313	"CARBOXYLATES-DEG;"	"acetate conversion to acetyl-CoA;"	6.2.1.1	1	1	2	0.01
LACTOSEUTIL-PWY	"LACTOSE-DEG;"	"lactose degradation II;"	1.1.1.-+3.2.1.23	3	2	15	0.08
PWY0-1264	"Lipid-Biosynthesis;"	"biotin-carboxyl carrier protein assembly;"	6.3.4.14+6.4.1.2	3	2	8	0.04
PWY-6131	"GLYCEROL-DEG;"	"glycerol degradation II;"	2.7.1.29	2	1	1	0.01
PWY-5400	"BETALAIN-ALKALOIDS;"	"amaranthin biosynthesis;"	2.3.1.-+2.4.1.-	2	2	25	0.14
PWY-6562	"Polyamine-Biosynthesis;"	"norspermidine biosynthesis;"	1.2.1.11+1.5.1.-+2.7.2.4	5	3	6	0.03
PYRIDNUCSYN-PWY	"NAD-SYN;"	"NAD <i>de novo</i> biosynthesis I (from aspartate);"	1.4.3.16+2.7.7.18+6.3.1.5+6.3.5.1	6	4	5	0.03
PWY-5806	"Polyprenyl-Biosynthesis;"	"all-<i>trans</i>-decaprenyl diphosphate biosynthesis;"	2.5.1.-	1	1	6	0.03
SULFATE-CYS-PWY	"Sulfur-Metabolism; Super-Pathways;"	"superpathway of sulfate assimilation and cysteine biosynthesis;"	1.1.1.95+2.3.1.30+2.5.1.47+2.6.1.52+2.7.7.4+3.1.3.3	9	6	12	0.07
NONMEVIPP-PWY	"MEP-Pathways;"	"methylerythritol phosphate pathway I;"	1.1.1.267+2.2.1.7+2.7.1.148+2.7.7.60+4.6.1.12+5.3.3.2	8	6	13	0.07
PWY-5988	""	""	3.4.11.1	1	1	7	0.04
PWY-681	"AROMATIC-COMPOUNDS-DEGRADATION;"	"dibenzothiophene desulfurization;"	1.14.13.-+1.14.14.-	3	2	6	0.03
SER-GLYSYN-PWY	"Amino-Acid-Biosynthesis; Super-Pathways;"	"superpathway of L-serine and glycine biosynthesis I;"	1.1.1.95+2.1.2.1+2.6.1.52+3.1.3.3	4	4	8	0.04
PWY-6282	"Palmitoleate-Biosynthesis;"	"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate);"	1.1.1.100+2.3.1.41+4.2.1.59	5	3	6	0.03
PWY0-1352	"ANAEROBIC-RESPIRATION; Electron-Transfer; Nitrate-Reduction;"	"nitrate reduction VIII (dissimilatory);"	1.7.5.1	2	1	11	0.06
