#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	tigrfam_acc	tigrfam_desc	Taxonomy
metaerg.pl|00014	NODE_1_length_141231_cov_51.1498	9400	10161	762	1	No	0	TIGR01528	"nicotinamide mononucleotide transporter PnuC"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici
metaerg.pl|00034	NODE_1_length_141231_cov_51.1498	22710	23123	414	1	No	0	TIGR01671	"phage conserved hypothetical protein TIGR01671"	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus youngiae
metaerg.pl|00187	NODE_2_length_111948_cov_23.7747	21869	22975	1107	-1	No	0	TIGR00576	"dUTP diphosphatase"	unknow
metaerg.pl|00259	NODE_2_length_111948_cov_23.7747	68043	68579	537	-1	No	0	TIGR02274	"deoxycytidine triphosphate deaminase"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Demequinaceae;g__Demequina;s__Demequina flava
metaerg.pl|00279	NODE_2_length_111948_cov_23.7747	81998	85522	3525	-1	No	0	TIGR00594	"DNA polymerase III, alpha subunit"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00304	NODE_3_length_103051_cov_39.1774	1468	1848	381	1	No	0	TIGR00621	"single-stranded DNA-binding protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__GCA-2722175;g__GCA-2722175;s__GCA-2722175 sp002722175
metaerg.pl|00347	NODE_3_length_103051_cov_39.1774	34760	39493	4734	1	No	0	TIGR02675	"tape measure domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;no__unclassified Caudovirales;s__Rhizobium phage RHEph10;
metaerg.pl|00350	NODE_3_length_103051_cov_39.1774	40708	41415	708	1	No	0	TIGR01600	"phage minor tail protein L"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;no__unclassified Caudovirales;s__Rhizobium phage RHEph10;
metaerg.pl|00385	NODE_3_length_103051_cov_39.1774	72645	76007	3363	1	No	0	TIGR00594	"DNA polymerase III, alpha subunit"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00400	NODE_3_length_103051_cov_39.1774	87851	89557	1707	1	No	0	TIGR02510	"ribonucleoside-diphosphate reductase, alpha chain"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00403	NODE_3_length_103051_cov_39.1774	90846	91535	690	1	No	0	TIGR00576	"dUTP diphosphatase"	unknow
metaerg.pl|00442	NODE_4_length_99052_cov_18.771	15669	16172	504	-1	No	0	TIGR01550	"death-on-curing family protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B acidipiscis
metaerg.pl|00639	NODE_7_length_42270_cov_19.0982	6361	6852	492	1	No	0	TIGR00621	"single-stranded DNA-binding protein"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus ultunensis
metaerg.pl|00657	NODE_7_length_42270_cov_19.0982	20201	25651	5451	-1	No	0	TIGR01760	"phage tail tape measure protein, TP901 family, core region"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus bombicola
metaerg.pl|00669	NODE_7_length_42270_cov_19.0982	33023	33943	921	-1	No	0	TIGR01641	"phage head morphogenesis protein, SPP1 gp7 family"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp002911475
