#Accession	ID	Description	Count	Count_pct
PF13503	DUF4123	"Domain of unknown function (DUF4123)"	1	0.01
PF04014	MazE_antitoxin	"Antidote-toxin recognition MazE, bacterial antitoxin"	4	0.02
PF05657	DUF806	"Protein of unknown function (DUF806)"	5	0.03
PF07638	Sigma70_ECF	"ECF sigma factor"	1	0.01
PF02541	Ppx-GppA	"Ppx/GppA phosphatase family"	3	0.02
PF03951	Gln-synt_N	"Glutamine synthetase, beta-Grasp domain"	1	0.01
PF06222	Phage_TAC_1	"Phage tail assembly chaperone"	1	0.01
PF02548	Pantoate_transf	"Ketopantoate hydroxymethyltransferase"	4	0.02
PF13520	AA_permease_2	"Amino acid permease"	17	0.09
PF11351	GTA_holin_3TM	"Holin of 3TMs, for gene-transfer release"	1	0.01
PF03372	Exo_endo_phos	"Endonuclease/Exonuclease/phosphatase family"	2	0.01
PF01612	DNA_pol_A_exo1	"3'-5' exonuclease"	12	0.07
PF08406	CbbQ_C	"CbbQ/NirQ/NorQ C-terminal"	1	0.01
PF02861	Clp_N	"Clp amino terminal domain, pathogenicity island component"	3	0.02
PF01656	CbiA	"CobQ/CobB/MinD/ParA nucleotide binding domain"	29	0.16
PF13238	AAA_18	"AAA domain"	7	0.04
PF01810	LysE	"LysE type translocator"	2	0.01
PF05382	Amidase_5	"Bacteriophage peptidoglycan hydrolase"	2	0.01
PF17212	Tube	"Tail tubular protein"	3	0.02
PF03807	F420_oxidored	"NADP oxidoreductase coenzyme F420-dependent"	7	0.04
PF09979	DUF2213	"Uncharacterized protein conserved in bacteria (DUF2213)"	17	0.09
PF00248	Aldo_ket_red	"Aldo/keto reductase family"	19	0.10
PF05155	Phage_X	"Phage X family"	1	0.01
PF00202	Aminotran_3	"Aminotransferase class-III"	13	0.07
PF10083	DUF2321	"Uncharacterized protein conserved in bacteria (DUF2321)"	2	0.01
PF10662	PduV-EutP	"Ethanolamine utilisation - propanediol utilisation"	1	0.01
PF13177	DNA_pol3_delta2	"DNA polymerase III, delta subunit"	3	0.02
PF12769	PNTB_4TM	"4TM region of pyridine nucleotide transhydrogenase, mitoch"	1	0.01
PF02646	RmuC	"RmuC family"	2	0.01
PF03710	GlnE	"Glutamate-ammonia ligase adenylyltransferase"	9	0.05
PF00102	Y_phosphatase	"Protein-tyrosine phosphatase"	1	0.01
PF00765	Autoind_synth	"Autoinducer synthase"	2	0.01
PF00204	DNA_gyraseB	"DNA gyrase B"	2	0.01
PF06908	YpsA	"YspA SLOG family"	1	0.01
PF03819	MazG	"MazG nucleotide pyrophosphohydrolase domain"	2	0.01
PF00490	ALAD	"Delta-aminolevulinic acid dehydratase"	1	0.01
PF12836	HHH_3	"Helix-hairpin-helix motif"	1	0.01
PF12146	Hydrolase_4	"Serine aminopeptidase, S33"	10	0.05
PF04397	LytTR	"LytTr DNA-binding domain"	2	0.01
PF01436	NHL	"NHL repeat"	1	0.01
PF04513	Baculo_PEP_C	"Baculovirus polyhedron envelope protein, PEP, C terminus"	1	0.01
PF09378	HAS-barrel	"HAS barrel domain"	1	0.01
PF01219	DAGK_prokar	"Prokaryotic diacylglycerol kinase"	1	0.01
PF03135	CagE_TrbE_VirB	"CagE, TrbE, VirB family, component of type IV transporter system"	1	0.01
PF00676	E1_dh	"Dehydrogenase E1 component"	3	0.02
PF03864	Phage_cap_E	"Phage major capsid protein E"	13	0.07
PF06892	Phage_CP76	"Phage regulatory protein CII (CP76)"	1	0.01
PF03947	Ribosomal_L2_C	"Ribosomal Proteins L2, C-terminal domain"	1	0.01
PF02547	Queuosine_synth	"Queuosine biosynthesis protein"	5	0.03
PF02882	THF_DHG_CYH_C	"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"	3	0.02
PF13245	AAA_19	"AAA domain"	11	0.06
PF03279	Lip_A_acyltrans	"Bacterial lipid A biosynthesis acyltransferase"	3	0.02
PF17965	MucBP_2	"Mucin binding domain"	2	0.01
PF09588	YqaJ	"YqaJ-like viral recombinase domain"	11	0.06
PF10123	Mu-like_Pro	"Mu-like prophage I protein"	6	0.03
PF00132	Hexapep	"Bacterial transferase hexapeptide (six repeats)"	18	0.10
PF04117	Mpv17_PMP22	"Mpv17 / PMP22 family"	1	0.01
PF00687	Ribosomal_L1	"Ribosomal protein L1p/L10e family"	1	0.01
PF03725	RNase_PH_C	"3' exoribonuclease family, domain 2"	2	0.01
PF02347	GDC-P	"Glycine cleavage system P-protein"	2	0.01
PF00892	EamA	"EamA-like transporter family"	19	0.10
PF13428	TPR_14	"Tetratricopeptide repeat"	5	0.03
PF00025	Arf	"ADP-ribosylation factor family"	1	0.01
PF13252	DUF4043	"Protein of unknown function (DUF4043)"	4	0.02
PF05947	T6SS_TssF	"Type VI secretion system, TssF"	2	0.01
PF00575	S1	"S1 RNA binding domain"	12	0.07
PF04095	NAPRTase	"Nicotinate phosphoribosyltransferase (NAPRTase) family"	2	0.01
PF02580	Tyr_Deacylase	"D-Tyr-tRNA(Tyr) deacylase"	1	0.01
PF08267	Meth_synt_1	"Cobalamin-independent synthase, N-terminal domain"	1	0.01
PF05269	Phage_CII	"Bacteriophage CII protein"	2	0.01
PF00342	PGI	"Phosphoglucose isomerase"	5	0.03
PF18319	PriA_CRR	"PriA DNA helicase Cys-rich region (CRR) domain"	2	0.01
PF06969	HemN_C	"HemN C-terminal domain"	1	0.01
PF01425	Amidase	"Amidase"	4	0.02
PF13540	RCC1_2	"Regulator of chromosome condensation (RCC1) repeat"	2	0.01
PF13538	UvrD_C_2	"UvrD-like helicase C-terminal domain"	6	0.03
PF01297	ZnuA	"Zinc-uptake complex component A periplasmic"	6	0.03
PF02618	YceG	"YceG-like family"	3	0.02
PF11259	DUF3060	"Protein of unknown function (DUF3060)"	5	0.03
PF00453	Ribosomal_L20	"Ribosomal protein L20"	2	0.01
PF02776	TPP_enzyme_N	"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain"	5	0.03
PF01073	3Beta_HSD	"3-beta hydroxysteroid dehydrogenase/isomerase family"	8	0.04
PF01965	DJ-1_PfpI	"DJ-1/PfpI family"	3	0.02
PF03547	Mem_trans	"Membrane transport protein"	2	0.01
PF07068	Gp23	"Major capsid protein Gp23"	1	0.01
PF05766	NinG	"Bacteriophage Lambda NinG protein"	7	0.04
PF08491	SE	"Squalene epoxidase"	2	0.01
PF13814	Replic_Relax	"Replication-relaxation"	1	0.01
PF03610	EIIA-man	"PTS system fructose IIA component"	2	0.01
PF06481	COX_ARM	"COX Aromatic Rich Motif"	1	0.01
PF06282	DUF1036	"Protein of unknown function (DUF1036)"	1	0.01
PF12900	Pyridox_ox_2	"Pyridoxamine 5'-phosphate oxidase"	1	0.01
PF00285	Citrate_synt	"Citrate synthase, C-terminal domain"	3	0.02
PF10601	zf-LITAF-like	"LITAF-like zinc ribbon domain"	1	0.01
PF13693	HTH_35	"Winged helix-turn-helix DNA-binding"	2	0.01
PF10080	DUF2318	"Predicted membrane protein (DUF2318)"	1	0.01
PF08774	VRR_NUC	"VRR-NUC domain"	3	0.02
PF01148	CTP_transf_1	"Cytidylyltransferase family"	4	0.02
PF09850	DotU	"Type VI secretion system protein DotU"	1	0.01
PF03320	FBPase_glpX	"Bacterial fructose-1,6-bisphosphatase, glpX-encoded"	2	0.01
PF04452	Methyltrans_RNA	"RNA methyltransferase"	1	0.01
PF07683	CobW_C	"Cobalamin synthesis protein cobW C-terminal domain"	2	0.01
PF05593	RHS_repeat	"RHS Repeat"	2	0.01
PF12221	HflK_N	"Bacterial membrane protein N terminal"	1	0.01
PF06965	Na_H_antiport_1	"Na+/H+ antiporter 1"	2	0.01
PF00318	Ribosomal_S2	"Ribosomal protein S2"	1	0.01
PF02665	Nitrate_red_gam	"Nitrate reductase gamma subunit"	1	0.01
