#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	ec_id	ec_name	Taxonomy
metaerg.pl|00087	NODE_1_length_141231_cov_51.1498	58762	59607	846	-1	No	0	3.5.1.28	"N-acetylmuramoyl-L-alanine amidase."	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_E;s__Lactobacillus_E rennini"
metaerg.pl|00122	NODE_1_length_141231_cov_51.1498	85052	85783	732	-1	No	0	2.7.1.113	"Deoxyguanosine kinase."	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cuniculi"
metaerg.pl|00187	NODE_2_length_111948_cov_23.7747	21869	22975	1107	-1	No	0	3.6.1.23	"dUTP diphosphatase."	"unknow"
metaerg.pl|00259	NODE_2_length_111948_cov_23.7747	68043	68579	537	-1	No	0	3.5.4.30	"dCTP deaminase (dUMP-forming)."	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Demequinaceae;g__Demequina;s__Demequina flava"
metaerg.pl|00259	NODE_2_length_111948_cov_23.7747	68043	68579	537	-1	No	0	3.5.4.13	"dCTP deaminase."	"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Demequinaceae;g__Demequina;s__Demequina flava"
metaerg.pl|00279	NODE_2_length_111948_cov_23.7747	81998	85522	3525	-1	No	0	2.7.7.7	"DNA-directed DNA polymerase."	"d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;"
metaerg.pl|00282	NODE_2_length_111948_cov_23.7747	87860	89695	1836	-1	No	0	6.5.1.2	"DNA ligase (NAD(+))."	"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinacoccus;s__Urinacoccus sp001299455"
metaerg.pl|00329	NODE_3_length_103051_cov_39.1774	21370	22005	636	1	No	0	3.6.3.-	"Acting on acid anhydrides; catalyzing transmembrane movement of substances."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis"
metaerg.pl|00348	NODE_3_length_103051_cov_39.1774	39505	40254	750	1	No	0	3.4.-.-	"Acting on peptide bonds (peptidases)."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis"
metaerg.pl|00351	NODE_3_length_103051_cov_39.1774	41412	42221	810	1	No	0	3.4.-.-	"Acting on peptide bonds (peptidases)."	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis"
