#Accession	Name	Function	Count	Count_pct
TIGR00473	pssA	"CDP-diacylglycerol-serine O-phosphatidyltransferase"	1	0.01
TIGR00924	yjdL_sub1_fam	"amino acid/peptide transporter (Peptide:H+ symporter)"	1	0.01
TIGR00516	acpS	"holo-[acyl-carrier-protein] synthase"	1	0.01
TIGR00430	Q_tRNA_tgt	"tRNA-guanine transglycosylase"	1	0.01
TIGR01167	LPXTG_anchor	"LPXTG cell wall anchor domain"	1	0.01
TIGR01682	moaD	"molybdopterin converting factor, subunit 1"	1	0.01
TIGR00576	dut	"dUTP diphosphatase"	2	0.01
TIGR00118	acolac_lg	"acetolactate synthase, large subunit, biosynthetic type"	1	0.01
TIGR00557	pdxA	"4-hydroxythreonine-4-phosphate dehydrogenase PdxA"	1	0.01
TIGR02273	16S_RimM	"16S rRNA processing protein RimM"	3	0.02
TIGR01424	gluta_reduc_2	"glutathione-disulfide reductase"	1	0.01
TIGR00215	lpxB	"lipid-A-disaccharide synthase"	1	0.01
TIGR04406	LPS_export_lptB	"LPS export ABC transporter ATP-binding protein"	1	0.01
TIGR00826	EIIB_glc	"PTS system, glucose-like IIB component"	3	0.02
TIGR00741	yfiA	"ribosomal subunit interface protein"	3	0.02
TIGR04111	BcepMu_gp16	"phage-associated protein, BcepMu gp16 family"	4	0.02
TIGR00427	TIGR00427	"membrane protein, MarC family"	1	0.01
TIGR02283	MltB_2	"lytic murein transglycosylase"	1	0.01
TIGR03061	pip_yhgE_Nterm	"YhgE/Pip N-terminal domain"	1	0.01
TIGR02385	RelE_StbE	"addiction module toxin, RelE/StbE family"	1	0.01
TIGR00688	rarD	"protein RarD"	1	0.01
TIGR01254	sfuA	"ABC transporter periplasmic binding protein, thiB subfamily"	1	0.01
TIGR00559	pdxJ	"pyridoxine 5'-phosphate synthase"	1	0.01
TIGR01560	put_DNA_pack	"uncharacterized phage protein (possible DNA packaging)"	9	0.05
TIGR01494	ATPase_P-type	"HAD ATPase, P-type, family IC"	8	0.04
TIGR01024	rplS_bact	"ribosomal protein bL19"	1	0.01
TIGR00125	cyt_tran_rel	"cytidyltransferase-like domain"	2	0.01
TIGR00052	TIGR00052	"nudix-type nucleoside diphosphatase, YffH/AdpP family"	1	0.01
TIGR02475	CobW	"cobalamin biosynthesis protein CobW"	1	0.01
TIGR00521	coaBC_dfp	"phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase"	1	0.01
TIGR00218	manA	"mannose-6-phosphate isomerase, class I"	2	0.01
TIGR01055	parE_Gneg	"DNA topoisomerase IV, B subunit"	1	0.01
TIGR01419	nitro_reg_IIA	"PTS IIA-like nitrogen-regulatory protein PtsN"	1	0.01
