#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	sprot_id	sprot_desc	Taxonomy
metaerg.pl|00015	NODE_1_length_141231_cov_51.1498	10266	10547	282	1	No	0	sp|P08821|DBH1_BACSU	"DNA-binding protein HU 1"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides sp900101045
metaerg.pl|00087	NODE_1_length_141231_cov_51.1498	58762	59607	846	-1	No	0	sp|Q38135|ALYS_BPR1T	"N-acetylmuramoyl-L-alanine amidase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_E;s__Lactobacillus_E rennini
metaerg.pl|00122	NODE_1_length_141231_cov_51.1498	85052	85783	732	-1	No	0	sp|P0C1G0|DGK2_LACAC	"Deoxyguanosine kinase"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium cuniculi
metaerg.pl|00154	NODE_1_length_141231_cov_51.1498	127302	127781	480	-1	No	0	sp|P85229|VPN5_BPPHE	"Virion protein 5"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Bc431virus;s__Bacillus virus Bc431;
metaerg.pl|00161	NODE_1_length_141231_cov_51.1498	134197	135798	1602	-1	No	0	sp|V5XWI9|CAPSD_BPS24	"Major capsid protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Silviavirus;s__Staphylococcus virus Remus;
metaerg.pl|00164	NODE_1_length_141231_cov_51.1498	138062	139789	1728	-1	No	0	sp|A8E264|PORTL_BPPHE	"Probable portal protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus LP65;
metaerg.pl|00259	NODE_2_length_111948_cov_23.7747	68043	68579	537	-1	No	0	sp|A9WT08|DCDB_RENSM	"dCTP deaminase, dUMP-forming"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Demequinaceae;g__Demequina;s__Demequina flava
metaerg.pl|00269	NODE_2_length_111948_cov_23.7747	75686	77008	1323	-1	No	0	sp|A6LM62|RECA_THEM4	"hypothetical protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Bxz1virus;s__Mycobacterium virus Bxz1;
metaerg.pl|00279	NODE_2_length_111948_cov_23.7747	81998	85522	3525	-1	No	0	sp|Q9ZJF9|DPO3A_HELPJ	"DNA polymerase III subunit alpha"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Rhodococcus phage E3;
metaerg.pl|00282	NODE_2_length_111948_cov_23.7747	87860	89695	1836	-1	No	0	sp|Q5UY84|DNLJ_HALMA	"DNA ligase"	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinacoccus;s__Urinacoccus sp001299455
metaerg.pl|00304	NODE_3_length_103051_cov_39.1774	1468	1848	381	1	No	0	sp|Q98M41|SSB_RHILO	"Single-stranded DNA-binding protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__GCA-2722175;g__GCA-2722175;s__GCA-2722175 sp002722175
metaerg.pl|00329	NODE_3_length_103051_cov_39.1774	21370	22005	636	1	No	0	sp|Q1DDP4|METN_MYXXD	"Methionine import ATP-binding protein MetN"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00348	NODE_3_length_103051_cov_39.1774	39505	40254	750	1	No	0	sp|P03729|TIPK_LAMBD	"Tail tip assembly protein K"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00351	NODE_3_length_103051_cov_39.1774	41412	42221	810	1	No	0	sp|O64333|TIPK_BPN15	"Tail tip assembly protein K"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00352	NODE_3_length_103051_cov_39.1774	42214	42819	606	1	No	0	sp|P03730|TIPI_LAMBD	"Tail tip assembly protein I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00363	NODE_3_length_103051_cov_39.1774	51397	53301	1905	1	No	0	sp|Q6QGT3|A1_BPT5	"hypothetical protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00367	NODE_3_length_103051_cov_39.1774	56405	57070	666	1	No	0	sp|P46343|PHOL_BACSU	"PhoH-like protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Afifellaceae;g__A52C2;s__A52C2 sp900110915
metaerg.pl|00377	NODE_3_length_103051_cov_39.1774	65300	66442	1143	-1	No	0	sp|P05684|REPC_AGRRH	"Putative replication protein C"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;no__unclassified Caudovirales;s__Rhizobium phage RHEph10;
metaerg.pl|00385	NODE_3_length_103051_cov_39.1774	72645	76007	3363	1	No	0	sp|O68770|DPO3A_YERPE	"DNA polymerase III subunit alpha"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00388	NODE_3_length_103051_cov_39.1774	77762	78691	930	1	No	0	sp|O08307|DPO1_CHLAA	"DNA polymerase I"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00389	NODE_3_length_103051_cov_39.1774	78701	79780	1080	1	No	0	sp|Q8FPD3|RECA_COREF	"hypothetical protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00406	NODE_3_length_103051_cov_39.1774	92758	93291	534	1	No	0	sp|Q5UPT6|YL245_MIMIV	"Uncharacterized HNH endonuclease L245"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter rudongensis
metaerg.pl|00415	NODE_3_length_103051_cov_39.1774	98607	99653	1047	1	No	0	sp|P55388|Y4CF_SINFN	"hypothetical protein"	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum;s__Ochrobactrum sp900470195
metaerg.pl|00455	NODE_4_length_99052_cov_18.771	23122	23598	477	-1	No	0	sp|Q9R5V5|NTD_LACLE	"Nucleoside deoxyribosyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus apis
metaerg.pl|00478	NODE_4_length_99052_cov_18.771	37308	37952	645	-1	No	0	sp|Q74HC2|DGK2_LACJO	"Deoxyguanosine kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri
metaerg.pl|00479	NODE_4_length_99052_cov_18.771	37956	38591	636	-1	No	0	sp|P0C1F9|DGK1_LACAC	"Deoxyadenosine kinase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus pasteurii
metaerg.pl|00483	NODE_4_length_99052_cov_18.771	42229	43980	1752	1	No	0	sp|A8E264|PORTL_BPPHE	"Probable portal protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00486	NODE_4_length_99052_cov_18.771	46055	47662	1608	1	No	0	sp|V5XWI9|CAPSD_BPS24	"Major capsid protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Bc431virus;s__Bacillus virus Bcp1;
metaerg.pl|00493	NODE_4_length_99052_cov_18.771	51966	53720	1755	1	No	0	sp|P85225|VPN1_BPPHE	"Putative tail sheath protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00494	NODE_4_length_99052_cov_18.771	53742	54197	456	1	No	0	sp|P85229|VPN5_BPPHE	"Virion protein 5"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00499	NODE_4_length_99052_cov_18.771	61791	64370	2580	1	No	0	sp|A8E283|VPN7_BPPHE	"Tail fiber protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;
metaerg.pl|00505	NODE_4_length_99052_cov_18.771	70007	70294	288	1	No	0	sp|B2GAH9|CH10_LACF3	"10 kDa chaperonin"	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis
metaerg.pl|00511	NODE_4_length_99052_cov_18.771	76407	76937	531	1	No	0	sp|P85227|BP40_BPPHE	"Virion protein 3"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Kayvirus;s__Staphylococcus virus P108;
metaerg.pl|00518	NODE_4_length_99052_cov_18.771	86052	87938	1887	1	No	0	sp|O64299|EXO2_BPR69	"Exonuclease subunit 2"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unassigned Spounavirinae;s__Lactobacillus virus Lb338-1;
metaerg.pl|00531	NODE_4_length_99052_cov_18.771	98114	98785	672	1	No	0	sp|P30314|DPOL_BPSP1	"DNA polymerase"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Tsarbombavirus;s__Bacillus virus BCP78;
metaerg.pl|00570	NODE_5_length_43281_cov_58.8939	20142	20768	627	-1	No	0	sp|P30314|DPOL_BPSP1	"DNA polymerase"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Tsarbombavirus;s__Bacillus virus TsarBomba;
