#KO	Name	Definition	Count	Count_pct
K07311	ynfG	"Tat-targeted selenate reductase subunit YnfG"	1	0.01
K03979	obgE, cgtA, MTG2	"GTPase [EC:3.6.5.-]"	2	0.01
K15011	regB, regS, actS	"two-component system, sensor histidine kinase RegB [EC:2.7.13.3]"	3	0.02
K01609	trpC	"indole-3-glycerol phosphate synthase [EC:4.1.1.48]"	2	0.01
K08172	shiA	"MFS transporter, MHS family, shikimate and dehydroshikimate transport protein"	2	0.01
K01708	garD	"galactarate dehydratase [EC:4.2.1.42]"	3	0.02
K02954	RP-S14, MRPS14, rpsN	"small subunit ribosomal protein S14"	2	0.01
K00007	dalD	"D-arabinitol 4-dehydrogenase [EC:1.1.1.11]"	1	0.01
K01429	ureB	"urease subunit beta [EC:3.5.1.5]"	2	0.01
K00491	nos	"nitric-oxide synthase, bacterial [EC:1.14.14.47]"	1	0.01
K06042	cobH-cbiC	"precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]"	2	0.01
K13950	pabAB	"para-aminobenzoate synthetase [EC:2.6.1.85]"	9	0.05
K00337	nuoH	"NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]"	1	0.01
K09800	tamB	"translocation and assembly module TamB"	2	0.01
K02881	RP-L18, MRPL18, rplR	"large subunit ribosomal protein L18"	1	0.01
K00265	gltB	"glutamate synthase (NADPH) large chain [EC:1.4.1.13]"	11	0.06
K01433	purU	"formyltetrahydrofolate deformylase [EC:3.5.1.10]"	1	0.01
K00285	dadA	"D-amino-acid dehydrogenase [EC:1.4.5.1]"	1	0.01
K11183	PTS-HPR.FRUB, fruB, fpr	"phosphocarrier protein FPr"	9	0.05
K11231	SLN1	"osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]"	36	0.20
K00963	UGP2, galU, galF	"UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"	3	0.02
K02876	RP-L15, MRPL15, rplO	"large subunit ribosomal protein L15"	1	0.01
K00373	narJ, narW	"nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW"	1	0.01
K03699	tlyC	"putative hemolysin"	1	0.01
K11354	cph1	"two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]"	22	0.12
K06969	rlmI	"23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]"	1	0.01
K05605	HIBCH	"3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]"	2	0.01
K19804	lapB	"lipopolysaccharide assembly protein B"	1	0.01
K01192	E3.2.1.25, MANBA, manB	"beta-mannosidase [EC:3.2.1.25]"	3	0.02
K03578	hrpA	"ATP-dependent helicase HrpA [EC:3.6.4.13]"	13	0.07
K00817	hisC	"histidinol-phosphate aminotransferase [EC:2.6.1.9]"	11	0.06
K02010	afuC, fbpC	"iron(III) transport system ATP-binding protein [EC:7.2.2.7]"	34	0.19
K04759	feoB	"ferrous iron transport protein B"	2	0.01
K02372	fabZ	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]"	1	0.01
K02392	flgG	"flagellar basal-body rod protein FlgG"	1	0.01
K15905		""	4	0.02
K01758	CTH	"cystathionine gamma-lyase [EC:4.4.1.1]"	1	0.01
K03570	mreC	"rod shape-determining protein MreC"	1	0.01
K01227	E3.2.1.96	"mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]"	19	0.10
K03366	butA, budC	"meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"	2	0.01
K02259	COX15, ctaA	"cytochrome c oxidase assembly protein subunit 15"	4	0.02
K11144	dnaI	"primosomal protein DnaI"	1	0.01
K00645	fabD, MCAT, MCT1	"[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"	1	0.01
K07550	bbsB	"benzoylsuccinyl-CoA thiolase BbsB subunit [EC:2.3.1.-]"	1	0.01
K09899	K09899	"uncharacterized protein"	1	0.01
K02517	lpxL, htrB	"Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"	2	0.01
