#Gene	Contig	Start	End	Gene_Length	Strand	SP	TM	pfam_name	pfam_acc	pfam_desc	Taxonomy
metaerg.pl|00001	NODE_1_length_141231_cov_51.1498	116	580	465	-1	No	0	DUF4065	PF13274	"Protein of unknown function (DUF4065)"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B aviarius
metaerg.pl|00002	NODE_1_length_141231_cov_51.1498	872	1516	645	-1	No	0	LysM	PF01476	"LysM domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G apinorum
metaerg.pl|00006	NODE_1_length_141231_cov_51.1498	2842	4185	1344	1	No	0	Terminase_GpA	PF05876	"Phage terminase large subunit (GpA)"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Nit1virus;s__Bacillus virus NIT1;
metaerg.pl|00009	NODE_1_length_141231_cov_51.1498	6007	6507	501	1	No	0	DUF3310	PF11753	"Protein of unknwon function (DUF3310)"	unknow
metaerg.pl|00014	NODE_1_length_141231_cov_51.1498	9400	10161	762	1	No	0	NMN_transporter	PF04973	"Nicotinamide mononucleotide transporter"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici
metaerg.pl|00015	NODE_1_length_141231_cov_51.1498	10266	10547	282	1	No	0	Bac_DNA_binding	PF00216	"Bacterial DNA-binding protein"	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides sp900101045
metaerg.pl|00019	NODE_1_length_141231_cov_51.1498	13026	15743	2718	1	No	0	ERCC3_RAD25_C	PF16203	"ERCC3/RAD25/XPB C-terminal helicase"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Sep1virus;s__Staphylococcus virus IPLAC1C;
metaerg.pl|00019	NODE_1_length_141231_cov_51.1498	13026	15743	2718	1	No	0	Helicase_C	PF00271	"Helicase conserved C-terminal domain"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Sep1virus;s__Staphylococcus virus IPLAC1C;
metaerg.pl|00019	NODE_1_length_141231_cov_51.1498	13026	15743	2718	1	No	0	ResIII	PF04851	"Type III restriction enzyme, res subunit"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;g__Sep1virus;s__Staphylococcus virus IPLAC1C;
metaerg.pl|00023	NODE_1_length_141231_cov_51.1498	17562	18176	615	1	No	0	YopX	PF09643	"YopX protein"	unknow
metaerg.pl|00032	NODE_1_length_141231_cov_51.1498	21699	22211	513	1	No	0	MethyltransfD12	PF02086	"D12 class N6 adenine-specific DNA methyltransferase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus caccae
metaerg.pl|00032	NODE_1_length_141231_cov_51.1498	21699	22211	513	1	No	0	N6_N4_Mtase	PF01555	"DNA methylase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus caccae
metaerg.pl|00034	NODE_1_length_141231_cov_51.1498	22710	23123	414	1	No	0	YopX	PF09643	"YopX protein"	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus youngiae
metaerg.pl|00035	NODE_1_length_141231_cov_51.1498	23104	23508	405	1	No	0	YopX	PF09643	"YopX protein"	unknow
metaerg.pl|00043	NODE_1_length_141231_cov_51.1498	25706	26389	684	1	No	0	DUF2786	PF10979	"Protein of unknown function (DUF2786)"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_K;s__Lactobacillus_K mellis
metaerg.pl|00048	NODE_1_length_141231_cov_51.1498	29040	29525	486	1	No	0	DUF4065	PF13274	"Protein of unknown function (DUF4065)"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G malefermentans
metaerg.pl|00087	NODE_1_length_141231_cov_51.1498	58762	59607	846	-1	No	0	Amidase_2	PF01510	"N-acetylmuramoyl-L-alanine amidase"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_E;s__Lactobacillus_E rennini
metaerg.pl|00087	NODE_1_length_141231_cov_51.1498	58762	59607	846	-1	No	0	SH3_5	PF08460	"Bacterial SH3 domain"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_E;s__Lactobacillus_E rennini
metaerg.pl|00092	NODE_1_length_141231_cov_51.1498	64470	65789	1320	-1	No	0	Rad51	PF08423	"Rad51"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Lactobacillus phage LfeInf;
metaerg.pl|00092	NODE_1_length_141231_cov_51.1498	64470	65789	1320	-1	No	0	RecA	PF00154	"recA bacterial DNA recombination protein"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;no__unclassified Myoviridae;s__Lactobacillus phage LfeInf;
metaerg.pl|00095	NODE_1_length_141231_cov_51.1498	68029	71139	3111	-1	No	0	DNA_pol_A	PF00476	"DNA polymerase family A"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;
metaerg.pl|00095	NODE_1_length_141231_cov_51.1498	68029	71139	3111	-1	No	0	DNA_pol_A_exo1	PF01612	"3'-5' exonuclease"	d__Viruses;no__dsDNA viruses, no RNA stage;o__Caudovirales;f__Myoviridae;
metaerg.pl|00096	NODE_1_length_141231_cov_51.1498	71245	71544	300	-1	No	0	Bac_DNA_binding	PF00216	"Bacterial DNA-binding protein"	unknow
metaerg.pl|00103	NODE_1_length_141231_cov_51.1498	74909	75394	486	-1	No	0	DUF4065	PF13274	"Protein of unknown function (DUF4065)"	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G namurensis
